______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/644: Loss: 2.34 | Accuracy: 0.48
[Training] Itteration/Batch: 725/1432: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 750/1432: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 775/1432: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 800/1432: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 825/1432: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 850/1432: Loss: 0.45 | Accuracy: 0.97
[Training] Itteration/Batch: 875/1432: Loss: 0.32 | Accuracy: 0.89
[Training] Itteration/Batch: 900/1432: Loss: 0.72 | Accuracy: 0.85
[Training] Itteration/Batch: 925/1432: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1432: Loss: 0.51 | Accuracy: 0.97
[Training] Itteration/Batch: 975/1432: Loss: 0.41 | Accuracy: 0.97
[Training] Itteration/Batch: 1000/1432: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1432: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/1432: Loss: 0.90 | Accuracy: 0.76
[Training] Itteration/Batch: 1075/1432: Loss: 0.67 | Accuracy: 0.89
[Training] Itteration/Batch: 1100/1432: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/1432: Loss: 0.70 | Accuracy: 0.96
[Training] Itteration/Batch: 1150/1432: Loss: 0.37 | Accuracy: 0.85
[Training] Itteration/Batch: 1175/1432: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/1432: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 1225/1432: Loss: 0.46 | Accuracy: 0.93
[Training] Itteration/Batch: 1250/1432: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1275/1432: Loss: 0.43 | Accuracy: 0.89
[Training] Itteration/Batch: 1300/1432: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/1432: Loss: 0.46 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/1432: Loss: 0.48 | Accuracy: 0.87
[Training] Itteration/Batch: 1375/1432: Loss: 0.53 | Accuracy: 0.85
[Training] Itteration/Batch: 1400/1432: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/1432: Loss: 0.09 | Accuracy: 1.00

Epoch 4: Val Bin. F1 Majority 0.43083420395851135 | Val Macro F1 Majority 0.7009953161030072 |             Val Bin F1 Individual 0.4199634790420532 | Val Macro F1 Individual 0.6955427843229376 |             Val Accuracy Majority 0.9450952410697937 | Val Accuracy Individual 0.9449832439422607 | Training Loss:0.3901354968547821 |             Val Loss 0.5267334580421448 | Train Runtime Millis 103075.49057399592 | Val Runtime Millis 21319.78799400531

______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/1432: Loss: 0.23 | Accuracy: 0.97
[Training] Itteration/Batch:  25/1432: Loss: 0.28 | Accuracy: 0.93
[Training] Itteration/Batch:  50/1432: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch:  75/1432: Loss: 0.25 | Accuracy: 0.97
[Training] Itteration/Batch: 100/1432: Loss: 0.48 | Accuracy: 0.89
[Training] Itteration/Batch: 125/1432: Loss: 0.23 | Accuracy: 0.96
[Training] Itteration/Batch: 150/1432: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 175/1432: Loss: 0.25 | Accuracy: 0.96
[Training] Itteration/Batch: 200/1432: Loss: 0.24 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1432: Loss: 0.17 | Accuracy: 0.96
[Training] Itteration/Batch: 250/1432: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1432: Loss: 0.19 | Accuracy: 0.95
[Training] Itteration/Batch: 300/1432: Loss: 0.62 | Accuracy: 0.81
[Training] Itteration/Batch: 325/1432: Loss: 0.35 | Accuracy: 0.93
[Training] Itteration/Batch: 350/1432: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1432: Loss: 0.64 | Accuracy: 0.93
[Training] Itteration/Batch: 400/1432: Loss: 0.25 | Accuracy: 0.96
[Training] Itteration/Batch: 425/1432: Loss: 0.21 | Accuracy: 0.97
[Training] Itteration/Batch: 450/1432: Loss: 1.07 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1432: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1432: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1432: Loss: 0.49 | Accuracy: 0.93
[Training] Itteration/Batch: 550/1432: Loss: 0.51 | Accuracy: 0.97
[Training] Itteration/Batch: 575/1432: Loss: 0.33 | Accuracy: 0.96
[Training] Itteration/Batch: 600/1432: Loss: 0.17 | Accuracy: 0.96
[Training] Itteration/Batch: 625/1432: Loss: 0.27 | Accuracy: 0.97
[Training] Itteration/Batch: 650/1432: Loss: 0.38 | Accuracy: 0.92
[Training] Itteration/Batch: 675/1432: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1432: Loss: 0.35 | Accuracy: 0.92
[Training] Itteration/Batch: 725/1432: Loss: 0.16 | Accuracy: 0.96
[Training] Itteration/Batch: 750/1432: Loss: 0.24 | Accuracy: 0.87
[Training] Itteration/Batch: 775/1432: Loss: 0.18 | Accuracy: 0.96
[Training] Itteration/Batch: 800/1432: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 825/1432: Loss: 0.25 | Accuracy: 0.96
[Training] Itteration/Batch: 850/1432: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1432: Loss: 0.41 | Accuracy: 0.89
[Training] Itteration/Batch: 900/1432: Loss: 0.22 | Accuracy: 0.96
[Training] Itteration/Batch: 925/1432: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1432: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 975/1432: Loss: 0.49 | Accuracy: 0.93
[Training] Itteration/Batch: 1000/1432: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1432: Loss: 0.36 | Accuracy: 0.96
[Training] Itteration/Batch: 1050/1432: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/1432: Loss: 0.44 | Accuracy: 0.97
[Training] Itteration/Batch: 1100/1432: Loss: 0.35 | Accuracy: 0.97
[Training] Itteration/Batch: 1125/1432: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/1432: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/1432: Loss: 0.43 | Accuracy: 0.97
[Training] Itteration/Batch: 1200/1432: Loss: 0.17 | Accuracy: 0.96
[Training] Itteration/Batch: 1225/1432: Loss: 0.24 | Accuracy: 0.97
[Training] Itteration/Batch: 1250/1432: Loss: 0.31 | Accuracy: 0.97
[Training] Itteration/Batch: 1275/1432: Loss: 0.60 | Accuracy: 0.85
[Training] Itteration/Batch: 1300/1432: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/1432: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1350/1432: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/1432: Loss: 0.31 | Accuracy: 0.93
[Training] Itteration/Batch: 1400/1432: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/1432: Loss: 0.08 | Accuracy: 1.00

Epoch 5: Val Bin. F1 Majority 0.42116403579711914 | Val Macro F1 Majority 0.6959477337346672 |             Val Bin F1 Individual 0.4178549349308014 | Val Macro F1 Individual 0.6947135440954104 |             Val Accuracy Majority 0.9442803263664246 | Val Accuracy Individual 0.945791482925415 | Training Loss:0.324901282787323 |             Val Loss 0.5402887463569641 | Train Runtime Millis 103178.77395299729 | Val Runtime Millis 21180.405664003047

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 2.35 | Accuracy: 0.47
[Training] Itteration/Batch:  25/807: Loss: 2.92 | Accuracy: 0.55
[Training] Itteration/Batch:  50/807: Loss: 2.53 | Accuracy: 0.59
[Training] Itteration/Batch:  75/807: Loss: 2.86 | Accuracy: 0.71
[Training] Itteration/Batch: 100/807: Loss: 2.48 | Accuracy: 0.72
[Training] Itteration/Batch: 125/807: Loss: 3.02 | Accuracy: 0.74
[Training] Itteration/Batch: 150/807: Loss: 1.94 | Accuracy: 0.92
[Training] Itteration/Batch: 175/807: Loss: 1.68 | Accuracy: 0.90
[Training] Itteration/Batch: 200/807: Loss: 3.03 | Accuracy: 0.85
[Training] Itteration/Batch: 225/807: Loss: 1.72 | Accuracy: 1.00
[Training] Itteration/Batch: 250/807: Loss: 2.06 | Accuracy: 0.95
[Training] Itteration/Batch: 275/807: Loss: 2.20 | Accuracy: 0.93
[Training] Itteration/Batch: 300/807: Loss: 3.23 | Accuracy: 0.94
[Training] Itteration/Batch: 325/807: Loss: 4.00 | Accuracy: 0.92
[Training] Itteration/Batch: 350/807: Loss: 1.46 | Accuracy: 1.00
[Training] Itteration/Batch: 375/807: Loss: 1.70 | Accuracy: 0.96
[Training] Itteration/Batch: 400/807: Loss: 1.25 | Accuracy: 1.00
[Training] Itteration/Batch: 425/807: Loss: 3.44 | Accuracy: 0.93
[Training] Itteration/Batch: 450/807: Loss: 1.48 | Accuracy: 1.00
[Training] Itteration/Batch: 475/807: Loss: 1.35 | Accuracy: 1.00
[Training] Itteration/Batch: 500/807: Loss: 3.04 | Accuracy: 0.95
[Training] Itteration/Batch: 525/807: Loss: 2.95 | Accuracy: 0.93
[Training] Itteration/Batch: 550/807: Loss: 2.09 | Accuracy: 0.95
[Training] Itteration/Batch: 575/807: Loss: 1.60 | Accuracy: 0.98
[Training] Itteration/Batch: 600/807: Loss: 1.28 | Accuracy: 1.00
[Training] Itteration/Batch: 625/807: Loss: 3.33 | Accuracy: 0.93
[Training] Itteration/Batch: 650/807: Loss: 1.97 | Accuracy: 0.97
[Training] Itteration/Batch: 675/807: Loss: 2.00 | Accuracy: 0.96
[Training] Itteration/Batch: 700/807: Loss: 1.87 | Accuracy: 0.97
[Training] Itteration/Batch: 725/807: Loss: 2.37 | Accuracy: 0.96
[Training] Itteration/Batch: 750/807: Loss: 1.29 | Accuracy: 1.00
[Training] Itteration/Batch: 775/807: Loss: 1.74 | Accuracy: 0.96
[Training] Itteration/Batch: 800/807: Loss: 2.16 | Accuracy: 0.94

Epoch 1: Val Bin. F1 Majority 0.3722304403781891 | Val Macro F1 Majority 0.6766728680349058 |             Val Bin F1 Individual 0.22514432668685913 | Val Macro F1 Individual 0.5966182273067816 |             Val Accuracy Majority 0.9633336067199707 | Val Accuracy Individual 0.9387081861495972 | Training Loss:2.262207269668579 |             Val Loss 1.7958539724349976 | Train Runtime Millis 80689.04393300181 | Val Runtime Millis 40386.525096000696

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 1.95 | Accuracy: 0.93
[Training] Itteration/Batch:  25/807: Loss: 1.34 | Accuracy: 0.95
[Training] Itteration/Batch:  50/807: Loss: 2.02 | Accuracy: 0.91
[Training] Itteration/Batch:  75/807: Loss: 4.38 | Accuracy: 0.90
[Training] Itteration/Batch: 100/807: Loss: 1.65 | Accuracy: 0.93
[Training] Itteration/Batch: 125/807: Loss: 1.39 | Accuracy: 0.98
[Training] Itteration/Batch: 150/807: Loss: 2.18 | Accuracy: 0.95
[Training] Itteration/Batch: 175/807: Loss: 1.47 | Accuracy: 0.96
[Training] Itteration/Batch: 200/807: Loss: 5.71 | Accuracy: 0.89
[Training] Itteration/Batch: 225/807: Loss: 1.63 | Accuracy: 0.95
[Training] Itteration/Batch: 250/807: Loss: 0.77 | Accuracy: 1.00
[Training] Itteration/Batch: 275/807: Loss: 1.35 | Accuracy: 0.95
[Training] Itteration/Batch: 300/807: Loss: 1.26 | Accuracy: 0.95
[Training] Itteration/Batch: 325/807: Loss: 1.17 | Accuracy: 0.98
[Training] Itteration/Batch: 350/807: Loss: 1.94 | Accuracy: 0.98
[Training] Itteration/Batch: 375/807: Loss: 2.70 | Accuracy: 0.86
[Training] Itteration/Batch: 400/807: Loss: 0.88 | Accuracy: 1.00
[Training] Itteration/Batch: 425/807: Loss: 1.61 | Accuracy: 0.94
[Training] Itteration/Batch: 450/807: Loss: 0.93 | Accuracy: 0.98
[Training] Itteration/Batch: 475/807: Loss: 3.59 | Accuracy: 0.90
[Training] Itteration/Batch: 500/807: Loss: 1.84 | Accuracy: 0.91
[Training] Itteration/Batch: 525/807: Loss: 0.86 | Accuracy: 1.00
[Training] Itteration/Batch: 550/807: Loss: 4.56 | Accuracy: 0.90
[Training] Itteration/Batch: 575/807: Loss: 1.22 | Accuracy: 0.97
[Training] Itteration/Batch: 600/807: Loss: 0.83 | Accuracy: 1.00
[Training] Itteration/Batch: 625/807: Loss: 1.72 | Accuracy: 0.92
[Training] Itteration/Batch: 650/807: Loss: 1.10 | Accuracy: 0.95
[Training] Itteration/Batch: 675/807: Loss: 1.24 | Accuracy: 0.97
[Training] Itteration/Batch: 700/807: Loss: 0.78 | Accuracy: 1.00
[Training] Itteration/Batch: 725/807: Loss: 0.85 | Accuracy: 0.96
[Training] Itteration/Batch: 750/807: Loss: 2.95 | Accuracy: 0.92
[Training] Itteration/Batch: 775/807: Loss: 1.83 | Accuracy: 0.97
[Training] Itteration/Batch: 800/807: Loss: 0.78 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.4722524583339691 | Val Macro F1 Majority 0.7252337119166525 |             Val Bin F1 Individual 0.39102017879486084 | Val Macro F1 Individual 0.6812835522513665 |             Val Accuracy Majority 0.9581571817398071 | Val Accuracy Individual 0.9456339478492737 | Training Loss:1.7683579921722412 |             Val Loss 1.4504623413085938 | Train Runtime Millis 81253.0496670006 | Val Runtime Millis 40397.9521210058

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 1.18 | Accuracy: 0.98
[Training] Itteration/Batch:  25/807: Loss: 1.16 | Accuracy: 0.98
[Training] Itteration/Batch:  50/807: Loss: 1.77 | Accuracy: 0.97
[Training] Itteration/Batch:  75/807: Loss: 2.27 | Accuracy: 0.94
[Training] Itteration/Batch: 100/807: Loss: 2.43 | Accuracy: 0.85
[Training] Itteration/Batch: 125/807: Loss: 0.83 | Accuracy: 0.93
[Training] Itteration/Batch: 150/807: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 175/807: Loss: 1.04 | Accuracy: 0.95
[Training] Itteration/Batch: 200/807: Loss: 1.22 | Accuracy: 0.88
[Training] Itteration/Batch: 225/807: Loss: 0.66 | Accuracy: 1.00
[Training] Itteration/Batch: 250/807: Loss: 1.05 | Accuracy: 0.90
[Training] Itteration/Batch: 275/807: Loss: 2.43 | Accuracy: 0.90
[Training] Itteration/Batch: 300/807: Loss: 1.14 | Accuracy: 0.94
[Training] Itteration/Batch: 325/807: Loss: 0.65 | Accuracy: 1.00
[Training] Itteration/Batch: 350/807: Loss: 0.66 | Accuracy: 1.00
[Training] Itteration/Batch: 375/807: Loss: 1.08 | Accuracy: 0.88
[Training] Itteration/Batch: 400/807: Loss: 1.60 | Accuracy: 0.87
[Training] Itteration/Batch: 425/807: Loss: 2.23 | Accuracy: 0.88
[Training] Itteration/Batch: 450/807: Loss: 1.08 | Accuracy: 0.95
[Training] Itteration/Batch: 475/807: Loss: 1.77 | Accuracy: 0.92
[Training] Itteration/Batch: 500/807: Loss: 0.96 | Accuracy: 0.95
[Training] Itteration/Batch: 525/807: Loss: 1.65 | Accuracy: 0.91
[Training] Itteration/Batch: 550/807: Loss: 1.67 | Accuracy: 0.86
[Training] Itteration/Batch: 575/807: Loss: 0.80 | Accuracy: 0.98
[Training] Itteration/Batch: 600/807: Loss: 1.45 | Accuracy: 0.95
[Training] Itteration/Batch: 625/807: Loss: 1.49 | Accuracy: 0.96
[Training] Itteration/Batch: 650/807: Loss: 1.74 | Accuracy: 0.83
[Training] Itteration/Batch: 675/807: Loss: 0.88 | Accuracy: 0.98
[Training] Itteration/Batch: 700/807: Loss: 2.50 | Accuracy: 0.96
[Training] Itteration/Batch: 725/807: Loss: 1.86 | Accuracy: 0.84
[Training] Itteration/Batch: 750/807: Loss: 0.84 | Accuracy: 0.95
[Training] Itteration/Batch: 775/807: Loss: 1.44 | Accuracy: 0.97
[Training] Itteration/Batch: 800/807: Loss: 1.17 | Accuracy: 0.97

Epoch 3: Val Bin. F1 Majority 0.3354564607143402 | Val Macro F1 Majority 0.6461608713534186 |             Val Bin F1 Individual 0.3323512077331543 | Val Macro F1 Individual 0.6431299737948535 |             Val Accuracy Majority 0.9189888834953308 | Val Accuracy Individual 0.9137703776359558 | Training Loss:1.4604687690734863 |             Val Loss 1.303209662437439 | Train Runtime Millis 81526.00813400204 | Val Runtime Millis 40531.24202300387

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 0.86 | Accuracy: 0.89
[Training] Itteration/Batch:  25/807: Loss: 1.44 | Accuracy: 0.92
[Training] Itteration/Batch:  50/807: Loss: 0.56 | Accuracy: 1.00
[Training] Itteration/Batch:  75/807: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 100/807: Loss: 1.18 | Accuracy: 0.96
[Training] Itteration/Batch: 125/807: Loss: 1.58 | Accuracy: 0.82
[Training] Itteration/Batch: 150/807: Loss: 1.20 | Accuracy: 0.97
[Training] Itteration/Batch: 175/807: Loss: 1.00 | Accuracy: 0.98
[Training] Itteration/Batch: 200/807: Loss: 0.78 | Accuracy: 0.98
[Training] Itteration/Batch: 225/807: Loss: 0.95 | Accuracy: 0.96
[Training] Itteration/Batch: 250/807: Loss: 0.58 | Accuracy: 0.98
[Training] Itteration/Batch: 275/807: Loss: 0.69 | Accuracy: 0.98
[Training] Itteration/Batch: 300/807: Loss: 0.78 | Accuracy: 0.97
[Training] Itteration/Batch: 325/807: Loss: 0.79 | Accuracy: 0.98
[Training] Itteration/Batch: 350/807: Loss: 1.37 | Accuracy: 0.95
[Training] Itteration/Batch: 375/807: Loss: 1.80 | Accuracy: 0.97
[Training] Itteration/Batch: 400/807: Loss: 0.61 | Accuracy: 1.00
[Training] Itteration/Batch: 425/807: Loss: 1.42 | Accuracy: 0.91
[Training] Itteration/Batch: 450/807: Loss: 1.00 | Accuracy: 0.98
[Training] Itteration/Batch: 475/807: Loss: 1.15 | Accuracy: 0.89
[Training] Itteration/Batch: 500/807: Loss: 0.78 | Accuracy: 0.89
[Training] Itteration/Batch: 525/807: Loss: 1.72 | Accuracy: 0.92
[Training] Itteration/Batch: 550/807: Loss: 0.84 | Accuracy: 0.91
[Training] Itteration/Batch: 575/807: Loss: 1.77 | Accuracy: 0.97
[Training] Itteration/Batch: 600/807: Loss: 1.16 | Accuracy: 0.97
[Training] Itteration/Batch: 625/807: Loss: 1.49 | Accuracy: 0.97
[Training] Itteration/Batch: 650/807: Loss: 1.16 | Accuracy: 0.88
[Training] Itteration/Batch: 675/807: Loss: 1.58 | Accuracy: 0.98
[Training] Itteration/Batch: 700/807: Loss: 1.59 | Accuracy: 0.92
[Training] Itteration/Batch: 725/807: Loss: 1.55 | Accuracy: 0.92
[Training] Itteration/Batch: 750/807: Loss: 1.86 | Accuracy: 0.95
[Training] Itteration/Batch: 775/807: Loss: 0.89 | Accuracy: 0.98
[Training] Itteration/Batch: 800/807: Loss: 1.98 | Accuracy: 0.89

Epoch 4: Val Bin. F1 Majority 0.3659108579158783 | Val Macro F1 Majority 0.6644419882860448 |             Val Bin F1 Individual 0.3489307761192322 | Val Macro F1 Individual 0.6537200338528899 |             Val Accuracy Majority 0.9300318956375122 | Val Accuracy Individual 0.9219899773597717 | Training Loss:1.2738991975784302 |             Val Loss 1.2475885152816772 | Train Runtime Millis 81317.84873700235 | Val Runtime Millis 40439.0182260031

______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 0.98 | Accuracy: 0.98
[Training] Itteration/Batch:  25/807: Loss: 0.47 | Accuracy: 1.00
[Training] Itteration/Batch:  50/807: Loss: 1.59 | Accuracy: 0.92
[Training] Itteration/Batch:  75/807: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 100/807: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 125/807: Loss: 1.58 | Accuracy: 0.96
[Training] Itteration/Batch: 150/807: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 175/807: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 200/807: Loss: 1.36 | Accuracy: 0.87
[Training] Itteration/Batch: 225/807: Loss: 0.86 | Accuracy: 0.93
[Training] Itteration/Batch: 250/807: Loss: 0.74 | Accuracy: 0.97
[Training] Itteration/Batch: 275/807: Loss: 2.00 | Accuracy: 0.93
[Training] Itteration/Batch: 300/807: Loss: 1.36 | Accuracy: 0.90
[Training] Itteration/Batch: 325/807: Loss: 2.67 | Accuracy: 0.94
[Training] Itteration/Batch: 350/807: Loss: 1.39 | Accuracy: 0.93
[Training] Itteration/Batch: 375/807: Loss: 1.58 | Accuracy: 0.85
[Training] Itteration/Batch: 400/807: Loss: 1.01 | Accuracy: 0.91
[Training] Itteration/Batch: 425/807: Loss: 1.42 | Accuracy: 0.87
[Training] Itteration/Batch: 450/807: Loss: 3.15 | Accuracy: 0.79
[Training] Itteration/Batch: 475/807: Loss: 1.23 | Accuracy: 0.96
[Training] Itteration/Batch: 500/807: Loss: 0.64 | Accuracy: 0.97
[Training] Itteration/Batch: 525/807: Loss: 1.19 | Accuracy: 0.87
[Training] Itteration/Batch: 550/807: Loss: 1.02 | Accuracy: 0.98
[Training] Itteration/Batch: 575/807: Loss: 1.62 | Accuracy: 0.79
[Training] Itteration/Batch: 600/807: Loss: 0.71 | Accuracy: 0.93
[Training] Itteration/Batch: 625/807: Loss: 2.09 | Accuracy: 0.90
[Training] Itteration/Batch: 650/807: Loss: 0.96 | Accuracy: 0.95
[Training] Itteration/Batch: 675/807: Loss: 0.81 | Accuracy: 0.95
[Training] Itteration/Batch: 700/807: Loss: 1.49 | Accuracy: 0.84
[Training] Itteration/Batch: 725/807: Loss: 1.12 | Accuracy: 0.90
[Training] Itteration/Batch: 750/807: Loss: 0.87 | Accuracy: 0.94
[Training] Itteration/Batch: 775/807: Loss: 1.41 | Accuracy: 0.89
[Training] Itteration/Batch: 800/807: Loss: 0.43 | Accuracy: 1.00

Epoch 5: Val Bin. F1 Majority 0.3827264904975891 | Val Macro F1 Majority 0.6747958227285566 |             Val Bin F1 Individual 0.3610483407974243 | Val Macro F1 Individual 0.6615213531262926 |             Val Accuracy Majority 0.9371063709259033 | Val Accuracy Individual 0.9282561540603638 | Training Loss:1.1435067653656006 |             Val Loss 1.2377452850341797 | Train Runtime Millis 81098.00541999721 | Val Runtime Millis 40552.094755003054

______________________________	 Running Epoch 6 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 0.58 | Accuracy: 0.98
[Training] Itteration/Batch:  25/807: Loss: 1.40 | Accuracy: 0.90
[Training] Itteration/Batch:  50/807: Loss: 0.47 | Accuracy: 0.96
[Training] Itteration/Batch:  75/807: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 100/807: Loss: 1.40 | Accuracy: 0.93
[Training] Itteration/Batch: 125/807: Loss: 1.86 | Accuracy: 0.95
[Training] Itteration/Batch: 150/807: Loss: 0.68 | Accuracy: 0.90
[Training] Itteration/Batch: 175/807: Loss: 1.27 | Accuracy: 0.98
[Training] Itteration/Batch: 200/807: Loss: 0.86 | Accuracy: 0.88
[Training] Itteration/Batch: 225/807: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 250/807: Loss: 0.89 | Accuracy: 0.95
[Training] Itteration/Batch: 275/807: Loss: 0.78 | Accuracy: 0.95
[Training] Itteration/Batch: 300/807: Loss: 1.03 | Accuracy: 0.92
[Training] Itteration/Batch: 325/807: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 350/807: Loss: 1.03 | Accuracy: 0.93
[Training] Itteration/Batch: 375/807: Loss: 1.72 | Accuracy: 0.94
[Training] Itteration/Batch: 400/807: Loss: 0.50 | Accuracy: 0.96
[Training] Itteration/Batch: 425/807: Loss: 1.54 | Accuracy: 0.87
[Training] Itteration/Batch: 450/807: Loss: 2.71 | Accuracy: 0.87
[Training] Itteration/Batch: 475/807: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 500/807: Loss: 0.87 | Accuracy: 0.93
[Training] Itteration/Batch: 525/807: Loss: 0.67 | Accuracy: 0.97
[Training] Itteration/Batch: 550/807: Loss: 1.24 | Accuracy: 0.93
[Training] Itteration/Batch: 575/807: Loss: 0.86 | Accuracy: 0.93
[Training] Itteration/Batch: 600/807: Loss: 1.94 | Accuracy: 0.89
[Training] Itteration/Batch: 625/807: Loss: 0.47 | Accuracy: 0.96
[Training] Itteration/Batch: 650/807: Loss: 0.92 | Accuracy: 0.89
[Training] Itteration/Batch: 675/807: Loss: 1.45 | Accuracy: 0.90
[Training] Itteration/Batch: 700/807: Loss: 0.76 | Accuracy: 0.93
[Training] Itteration/Batch: 725/807: Loss: 1.01 | Accuracy: 0.91
[Training] Itteration/Batch: 750/807: Loss: 1.44 | Accuracy: 0.86
[Training] Itteration/Batch: 775/807: Loss: 1.77 | Accuracy: 0.94
[Training] Itteration/Batch: 800/807: Loss: 1.26 | Accuracy: 0.86

Epoch 6: Val Bin. F1 Majority 0.3741829991340637 | Val Macro F1 Majority 0.6696491132506681 |             Val Bin F1 Individual 0.3521985113620758 | Val Macro F1 Individual 0.6560566963956966 |             Val Accuracy Majority 0.9339142441749573 | Val Accuracy Individual 0.9245014786720276 | Training Loss:1.0280925035476685 |             Val Loss 1.2223520278930664 | Train Runtime Millis 81218.60930899857 | Val Runtime Millis 40562.54726599582

______________________________	 Running Epoch 7 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 0.99 | Accuracy: 0.95
[Training] Itteration/Batch:  25/807: Loss: 0.84 | Accuracy: 0.98
[Training] Itteration/Batch:  50/807: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch:  75/807: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 100/807: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 125/807: Loss: 1.03 | Accuracy: 0.94
[Training] Itteration/Batch: 150/807: Loss: 1.35 | Accuracy: 0.90
[Training] Itteration/Batch: 175/807: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 200/807: Loss: 1.06 | Accuracy: 0.88
[Training] Itteration/Batch: 225/807: Loss: 0.74 | Accuracy: 0.89
[Training] Itteration/Batch: 250/807: Loss: 0.94 | Accuracy: 0.93
[Training] Itteration/Batch: 275/807: Loss: 1.41 | Accuracy: 0.98
[Training] Itteration/Batch: 300/807: Loss: 1.84 | Accuracy: 0.95
[Training] Itteration/Batch: 325/807: Loss: 1.20 | Accuracy: 0.87
[Training] Itteration/Batch: 350/807: Loss: 0.48 | Accuracy: 0.96
[Training] Itteration/Batch: 375/807: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 400/807: Loss: 0.63 | Accuracy: 0.93
[Training] Itteration/Batch: 425/807: Loss: 0.96 | Accuracy: 0.92
[Training] Itteration/Batch: 450/807: Loss: 1.81 | Accuracy: 0.80
[Training] Itteration/Batch: 475/807: Loss: 0.30 | Accuracy: 1.00
